Domain,Area,Element,Item,Year,Unit,Value
Live Animals,China,Stocks,Pigs,1984,Head,304931034
Live Animals,China,Stocks,Pigs,1985,Head,313860549
Live Animals,China,Stocks,Pigs,1986,Head,338442079
Live Animals,China,Stocks,Pigs,1987,Head,344601111
Live Animals,China,Stocks,Pigs,1988,Head,331943134
Live Animals,China,Stocks,Pigs,1989,Head,346100122
Live Animals,China,Stocks,Pigs,1990,Head,353841892
Live Animals,China,Stocks,Pigs,1991,Head,360337250
Live Animals,China,Stocks,Pigs,1992,Head,365124629
Live Animals,China,Stocks,Pigs,1993,Head,367174802
Live Animals,China,Stocks,Pigs,1994,Head,371502812
Live Animals,China,Stocks,Pigs,1995,Head,370887308
Live Animals,China,Stocks,Pigs,1996,Head,375337100
Live Animals,China,Stocks,Pigs,1997,Head,373689400
Live Animals,China,Stocks,Pigs,1998,Head,376460047
Live Animals,China,Stocks,Pigs,1999,Head,387055284
Live Animals,China,Stocks,Pigs,2000,Head,395766178
Live Animals,China,Stocks,Pigs,2001,Head,394922466
Live Animals,China,Stocks,Pigs,2002,Head,397524605
Live Animals,China,Stocks,Pigs,2003,Head,399684941
Live Animals,China,Stocks,Pigs,2004,Head,400095903
Live Animals,China,Stocks,Pigs,2005,Head,407176834
Live Animals,China,Stocks,Pigs,2006,Head,418890024
Live Animals,China,Stocks,Pigs,2007,Head,425712621
Live Animals,China,Stocks,Pigs,2008,Head,433458998
Live Animals,China,Stocks,Pigs,2009,Head,450984109
Live Animals,China,Stocks,Pigs,2010,Head,476260003
Live Animals,China,Stocks,Pigs,2011,Head,470960952
Live Animals,China,Stocks,Pigs,2012,Head,474109538
Live Animals,China,Stocks,Pigs,2013,Head,482102701
Live Animals,China,Stocks,Pigs,2014,Head,480095837
